title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
温泉大作戦 [温泉名人],sl11,1fdd8463a1bc45db75e803f33708ab8e,af7dace69c2435dcac20ba7ca9056f642df0a7fcdad90a6bc7b3b3b8816ffd64,0.412,0.714,9.411,True
last:wish (Another),sl1,1ffb42c741af167beccd7b4352daec39,f5fd1aa2399ed0c5a8cb467d80e0ad32a94d9dd40ac2e8e78e7b2a7632541965,-0.380,0.117,7.203,True
Decompozer [Resolution],sl10,1fff0e4060e2245cac6c2f02289bd57b,e99abae0b80929582961f06ae1786161916fedcba2a32fca7e7760ed113a4bb8,0.491,0.713,12.114,True
TENTEN,st4,201d63bb3bb44abd0e71d251574e3c0d,41098e9325e3040c7f0249e8e75b30ce560615345833e747219dde422dcb62c5,0.788,1.250,6.563,True
arosonik'A [ZOI],sl5,203c411b3ec01d6556e634483f2c00a1,3659471bf5deeec239a1154ced6d2fceccf8bfa813f819c54d832efcdf565503,0.128,0.405,8.845,True
MK-ULTRA [isocosa's 7k Insane],sl5,2041387d70474998bf74d2d793ef07cc,2e0f00da6facafa9e80a559e564d38ed641b7a28f8b90d2d87d5ae4fe584f628,0.178,0.422,10.100,True
Oekaki [SP Drawing],sl0,2041887891052d62d8c2ae4ad02665bf,8a6418b3445032ceb8d7869e39f910763ce12592ae784877ec170cfb5466a021,-0.835,-0.012,5.028,True
さよならダイヤモンド -メスガキの穴-,st1,2071eb219632ba1072b67d3a627cf108,2cef16450dd6b2bbaf43be7a75a9f6b1cf7d603cca7047d4a3423d03f233f392,0.574,0.841,9.202,True
Journey to Find Hope,sl0,2078e79fddd0894ad92b27c8b43bf096,e40ae1e2f51473800c923f104723db43581dd74b4258a356fa5059f401f6c16b,-0.776,-0.187,7.631,True
The Gorilla -Gorillize-,st5,20a377e80eedf8e40aa55db0b69ef632,60788fa4a878e52df1aa5a6c55b33bb99d20aaff70675fe9bb392d0d48b86dfb,0.969,1.533,7.702,True
Dilapidated city [おにぎり],st3,20af45b8fbef2cdc5fd07b2c217a9904,66614c48636949a9926282926481e5436aa069ea2d5352f04a7078f842591d3a,0.793,1.044,7.365,True
Aurora [ANOTHER7],sl0,20b5f54f74fd298272679493183f8d5f,d252053e9604518194ccda618cc4b072f3fcae2911a0eaf715c12ab5a639a219,-0.407,0.019,5.932,True
macaron [わさび味],st0,20bb096cb6605a0432ba570fce988da6,2673ae9cefe11fd6ca50399a833a0cb18f74cdaf737ef681eafb5afe80b55d40,0.705,0.843,14.797,True
Pandanus [パンダ茄子],st0,20d3b6bd051f46da4be8452f9207f9f1,c727ec4a59d7b617721fd1c941bceeaebc428180f57d464967fa7abb0732b894,0.730,0.925,19.700,True
Revolution [Starry Debut],sl11,2126af143327727c383f6bb886b1dca9,3f42a140cb51c8862e55f6c01d2f06dae19697a8ad3acf42f937afe8a61b0f45,0.256,0.674,11.698,True
カラクリ屋敷(インドネシア地方版) [Hexagon],st3,213b2fc20e511e330bcaad89a5459408,29774f28a353f3e97e70b0bc2a4c2b8d8c27af3b31a77d3d2593d19fb3afa361,0.810,1.080,8.697,True
Chainsaw NINJA vs ALIEN -Despair-,sl11,213ce0b43c2b287e5f7d5bb30c8ec44f,1598d1428426b5d5a157391253f7ccb3259e23af90fd84ace612582195f61972,0.497,0.757,14.971,True
ハードルネッサンバ [ANOTHER BOSS],sl10,216063bc06f7c34b03e8932d54b67dce,e2927761b6729709475fa9cf4e5f69a8ca3befcd8e7a50c65305542004a4f3b7,0.494,0.619,12.372,True
melty blood into the holy grail,st3,218592671612e80104e6893bb7868cff,6ed04450f473aa215301dfe4de1bb2f2c847c5dc9fec4120e2eef4aa3c1a0bf9,0.776,1.432,5.861,True
アルスノヴァに喝采を [ANGUISHFUL],st3,2192cc7b27d7afad57a2aba085f94b2f,31e664fd51dd24c1668ff39ffd162d0e9d84b4171066a4c291ae8e1ce00f8ba5,0.854,1.183,8.013,True
Wizdomiot [ABNORMAL],sl5,21b4c6161aa75946b0692ed375010f68,5d929b1d2e53325c7a6d290e358ee74d64425b35caa2c0cec4a68cbf44115f92,0.218,0.414,9.992,True
Deepsea Moonlight,sl0,21d4b08a3a1aa9ccf12ee0e5097bafb6,2dd378e01e2061d95f25d3ec541cc1f5a89da3e91077a0fbf1e4a3e0c1987f11,-0.691,-0.038,4.917,True
カラフル・サウンズ・カッター [F],sl0,21d50f01b479f73ec2933299249b1008,d3b489e80f49c278f34f5d17cff76654f723c4759993267f6f7d2811c6359b58,-0.451,-0.050,5.158,True
Aurora,sl4,21f3a6df1c92a059d7af7116f1b46c58,13689aebcb7cc358471899fc9c9e06479bb5511648030c66a15134d02e5f61d9,0.033,0.312,9.853,True
INSANER [Snother],st0,21f413901b10b720cf5d9b287c914659,66b84370532df6088673ca235a20b0a0c16a5cd1ca0d1a1dba56289f7a9efe39,0.600,0.837,15.475,True
Infinite Dreams [FUTURE],st1,22143dd25f50b2b5e76fa3e59e6d204e,9773a7fa7e1dfb511faf6b6c031741bd0699561865bfa4b174fdf6dfaa38dac6,0.645,0.931,11.588,True
DESPERATE -Last Battle-,sl9,225552f7a4a30610e0ff28671ca7230f,1f3634170260375ae9414b05eba0659e752d5e90fc052283e6e652ca5e91b9f0,0.451,0.605,12.757,True
夢、幻。 [SSSSA],st3,22810fc9f30021c430f59374cf2ffeb0,a64a933c258a8e7593eafe65738b80db3120ab42834f0a9d8a084d80eed01d56,0.735,1.114,9.239,True
浮世絵横丁 -凱風快晴-,sl6,22850b3b023918b76b9eb2a7c7172a1f,6cf8ce65b9d614e176f93cb8c1a0736b12c77dbab6a24aded4f9ffa9b2e644c5,0.209,0.452,8.461,True
Shiny☆Strike!!! [SP ANOTHER],sl2,228dac48516aad5b3d4ac8d8fe701ec0,12d61b2d661f49e82c48c6fa3822c6535223c2ead10d2203c1958e1a86ab65b7,-0.100,0.236,6.248,True
The sinking world [sagINSANE],sl10,22a8d3bd25179ffd2450ac877a6bb82a,af44e355705d13764e02a662161e48935fa0c272e639dbd71dd3cde9e5bad795,0.481,0.671,11.814,True
kyrka [Mild(fix)],sl2,22a8fdf9c1dc7353c1ec62363244ac73,c0da7a52e401e830b9da354b71f73b31dbe26789cd0b39d318df33b23f1941e1,-0.094,0.208,7.799,True
Alcubierre Drive [INSANE],sl9,22aee2d625d790b62a4d8cd4946aba92,254941cc71e4b960efed5b7ad5a2ca36ef8c4e9a0fce429aa81a0af0da452d24,0.469,0.643,10.879,True
音弾超人ゴリライザー [サトライザー],sl3,22b1a578c70b9d2668e18c31aaba53e4,9ea47d06bad8b945a58e59301f8d11642c5dd99a15876bb2cf39a1672d0ad3b4,-0.192,0.186,8.139,True
桜華月 -櫻七相図-,st1,22c93ae49b322bdd6e0b871233b8a36f,949cc49444909280063a39db79577f0ca28e3b5050b7a3020e7844a7c7587827,0.575,0.871,12.335,True
x-Aria -frenzy mix- [Hexagon],st0,22dc782a49fb3ff80c2de90fb10f62f9,55b7016c4fbb8486f5a1e31f4ef9d9ed5ab94b37e8f4f841f879c9920a633fbe,0.559,0.804,10.755,True
"your wind, my blind [Etude]",sl10,23108f44859ef37e013fa9bd4df08b72,6dea75339dbef35095ab7254fb15b41d0455b9a0126091a2c23ea77522665be9,0.466,0.658,12.353,True
ヒュブリスの頂に聳えるのは [poyather],st0,231e5292f372e77a369e45b1cde1a21c,24ec8784b9f55a2ae62d87ba0e9895bfb8589474f9d48f9560a91c576bcb4f92,0.606,0.859,12.161,True
Prayer [SP AZOTHER],sl0,2326ca3864a2f511d7582194e332641f,f65a517900a6e57be781b340404656a0e21babd5ed2ee410637e364630ccc592,-0.835,-0.149,7.336,True
Sigmoid [Supersingulary],st3,23356bb3d1a9c39e5440d1ff9f2763b4,df9e72283dfa8259d86c246f010cee64acd234f8e231424730c23bff97a692df,0.733,1.183,8.123,True
SEKIDO [Dead],sl2,233b0091293574989d1d05f89e279174,f47b504e78c8e90d24c14441d200d39249e296a3d604d30c2ed0ce880a230b3d,-0.091,0.217,8.868,True
ALICE IN PICOPICO NIGHT (SP Another),sl0,234d04f03394a4175c8d5d6d936055ec,a50e46deecd977ce2ec2830ab2c13c964bfe742e55cd15a2bf626e9f030475ce,-0.487,0.028,6.130,True
カリオストロの穿孔 [Key],sl5,235a67455f943d4d5f6adbd40dba8568,01edb66f8d6892af831b07618db5c502b1613f7c1b0892280c22852a980263c5,0.100,0.382,9.946,True
colorbar [横認識],st4,237e2c88c0fae4e781b93276389768d8,f7654272f6cfe15453c8dbd4748c5490861e49fdf8fb0a2d1ab2d2bbac3e7ad3,0.804,1.067,6.713,True
Holyvenger [MASTER],st3,237e643cf3bdc90367cbec3c634fcfdd,2ee83556ed048253e10eb50be835ae4a76f1a121ce0186902d7d8a7dd81674d9,0.787,1.274,7.692,True
Mondlicht [Moonlight],st4,23cd5397dfc775dbecc756214b6c73e4,64ad9b017d0d208b366b8b71bb5371e1a750fc8c028ec96f172edffb553cff44,1.096,1.492,7.872,True
Elnath [Memory],sl1,23de949aa3a025f62e2c78216ef98e1c,6cdba0271c2212426da3fb66ec30c4e5584adf577bab6be6d504203269dcb485,-0.099,0.168,7.501,True
Thermal Expansion [Another],sl0,23fc1ecec794d703828afd51c851b9f9,8203fba35c82c30176e09a79bcbc8e42ef185fa07fac99d820acbec802930eba,-0.338,-0.017,5.567,True
not MAKURA [7K ANOTHER],sl0,24057b864af23db5064e64d4ccccb270,076255b3dbdd63a39a76a4004fd89be25741617f35bdbb15ad923f5a8fb0f975,-0.498,-0.049,6.423,True
カタリスト [Excitation],sl7,240e4603c81a12bfedc5a9bcddc52e88,dbb8c0de6143b70c3adc91115cb4de1fab38d43c7a53365287389901771a4e88,0.276,0.535,9.543,True
Calamity Fortune [HARDEST],sl11,243a6ba83bc2f291a2a9bc9736b833bd,ca80e976628ccf9a7a0f5141fce13738d65b7832db618e47725b6d491502d024,0.532,0.782,9.326,True
キミとボクへの葬送歌 [Requiem],sl9,243ed9e410040cc2c16bb1ae77f6008b,69c60e36b5d746ffc2add8d80caff0e8292e8e80d8ee0a2fd14048ca88f059a4,0.351,0.576,12.148,True
MAMAMAMA [INSANE7],st1,246789c5923e67096604476546bf9d84,ed90be7e4f0b6c2c87beb0137614611182dbe40fe06cb7bdc7a9a5952f103834,0.755,0.907,8.155,True
Απομνημονευμαι [HARD],sl3,2490ada05c5054e74c62461a948417f1,c57006528a3a6da5a74e3e614bcfb417f9aaa54448ba3e56a48c808dbd689f3c,0.077,0.253,7.911,True
"Metropolis [7key,BITTER]",sl12,24b3d27b614f51a0e317027f7eca93b6,fef3f55507188cd7da941b3efcacfc41770e5e39368b238a9ee13743ee863426,0.583,0.714,10.104,True
Central Nucleus [INFERNO],sl10,24c869a51384af113e9271a766e7d4be,b939769e1b8bf04a83b7bbd8935cbdb9a64cc3fe30e5159fb9ff77e106a7fb6a,0.489,0.680,13.707,True
水晶世界 [Quartz],sl9,24cc4e6f36cd17f79ec4f34a22baf924,8d348955e8f4b3d6531e2a5be7d4562791028cf6ed9854bf69ace222ba668206,0.342,0.552,12.152,True
黄昏のメロディア [トワイライト],sl11,24ccef65138cbd461f82780aca4f7e47,98613607061312daac5fb4aa7e6f205bdc453fd1d10494074ad6a303e9410b9c,0.324,0.658,10.465,True
Rainforest [INSANE],sl7,24dfe4d149e42dc5922108a6622326ce,b7c068ae04582c8158dcd7e6569935ea97f7b100461c55bf7cbeaa82f14e0a79,0.276,0.537,15.380,True
私たちの恋は観音開き (純愛と百合の境界),sl10,24fb45323775bde7925f0f105aaa031b,be255787657176ddac461b83a70cfc56bfdbd325b78a8d177a5f23926db6b3cf,0.496,0.663,11.400,True
Blooming Jump! [ケッコンカッコカリ],st1,24ffb1afeb859a845cf84885c1ec95bf,e4eb0ba6d1059859795d67a20fdcc55e91dfb45fe06f7947c81a77b1d2c7608c,0.569,0.911,12.668,True
Illusion of Mind [kerother],st3,24ffc0e42b4c0aa1b7f43232e777201b,4056cacc7bbffae372c37f225d3a91b7115888a94a2f75cc379f14be4d3acc15,0.774,1.189,9.406,True
Song [SP INSANE],sl2,2500c8c660e49d08b6e554211b1498ea,138798eb1336b260e0a475a62c6213f33a385c7aa724707ad9e2fd47729409dd,-0.291,0.224,6.104,True
A-chasing-Y [Madness],st1,252bcf5a72f440bcedd74e65350b1ca2,2a9586f69b6b4db9b878b734217282f4888cf5a7f071aa62664ef1a556716d33,0.622,0.930,11.194,True
Smudge,st4,25424c3d4c970f8d975a91bcb513960d,efb149a6824601276761314b8cab5194f35cb3858e6e01fbcf0d7c2eda717869,0.865,1.442,7.482,True
永夜ノ蝶 [Imperishable],st0,255f045c6bffbe5fb13c465d264ab128,1fa922b837c9edb78d2ca3b9ba7b8da6d00b7e730154fbadd41b5b8ec84bd0b5,0.580,0.816,17.381,True
浮世絵横丁,sl1,258ca0e977962fa63301bba1ac91864f,5eabeda57a1d8fe902ace827c08652e4f09d7bf7356848b5f674b0adb50d667d,-0.364,0.149,5.807,True
L9 [★],sl2,25999666bc86cc9224524aae91956523,17eb7d71053b46714412c665ea3b05dda6bab3e70502806106793947e8930d5b,-0.026,0.208,8.408,True
PEACE BREAKER [HYPER],sl0,259c6ff7871efb0492d1dac5d16fda17,fa0cfb3b9615200aa1474a954244e31c107eb84efc1b3adb6d67f073659b34cd,-0.278,0.147,5.005,True
3000 Suns -Luminous-,sl2,25a58f5af8b3a955ccb585a1f7d2b87d,9d845bda93816f5888f207e9574b3ff1c8d282947785dac5b6d9074e7cebbdcf,-0.185,0.204,6.952,True
Astar [ANOTHER+],sl4,25b229a10bd1c9d91549941e7946478c,97c589de275422f01a10a0b60e7d29c6003432c7856653c61aadead7bbae22c1,0.008,0.339,9.362,True
sampleX [SP Xpert],st2,25d3171fe166348423d6ab0e7feeb6ca,904b4bb9c0afd555b2d383f0d1b1db86cbddf0c8e0fd18b4cd17e8050d954827,0.922,1.097,10.497,True
Sunny [ディレイ&物量],sl12,25eaf10ef0085443932317c03a65f333,6b0d1951027358e77bffd816dcd77ffd83cdddd6dee29ba5975f5a46eea25c8d,0.529,0.718,9.668,True
overtrue [nostalgie],sl12,25ed9d698d4b80e03635a481751c0c30,86237efbb6d9562d6cd3d3391b8d3cbe2d7813b3858a2400f7db9ab4501550dc,0.588,0.839,10.318,True
天海原～あまみはら～ 【天穹】,sl12,25fa6f793b02c300e1430864903fbb0b,2ff3e617140ce02a332186870403cd788f6ed2f677ececc1e9dc645f08ab1ac2,0.472,0.808,10.300,True
World Against 2 [7K Insane],sl2,2607ae29c8bad70ba7e6e8867ba6d385,e44e90966f5463cb5efda1a805653a082313948eef6dc59183416b59b512576d,-0.010,0.330,8.009,True
Daystar [Another+],sl1,2609350ec17cec55a9dd88b6f586c4d8,86b30c02e594d9f2cda4df8674c69f6652ab1fc8cb5f39e6818c8474f198cdcb,-0.681,0.085,6.426,True
START-RESTART [ANOTHER],sl0,260a5502420c21dc0ccf795e0ae154f3,9c9c9868893a265e47d0e7eb692387488f91fa1dea769797c44c74e8f039ad71,-0.685,-0.104,5.159,True
AMOLTAMISS [月の女神],sl7,2628a66883179a6d9316f3e9de72a51d,054f051328b3dfea724f92f0427e74efa4b4980baa0f9175dd52656b1cdf3fb8,0.367,0.510,10.811,True
Life is PIANO [Wander+],st5,2650948d745fe2cbb990bd73824e6811,037c1e0792dcaaaa9d7755c5bba91fd7fcdf54547efdba6356cb55f276b9f3ab,0.961,1.329,5.839,True
The Decisive Battle [DECISIVE DEATH],sl10,26747a6f48df4775474efe85950c1ce0,8ec36e20fbceef59d5a34b347284bc8e0e290fab31d99424e18dc088674391dd,0.424,0.657,11.990,True
Amnehilesie [Etude],sl11,267fbf20e2f0d04e64525b0dbee0f789,a969286bcba203591a48d3f652c1481f3d04027cafc37800598d4e095686f5eb,0.445,0.739,10.489,True
The Last Page [SP INSANE],sl2,268508cd8f9da505d7069fe3c57370fc,7bdc67e4f33ebc380dfff31c73da836f7b5553f377cb6db38b2a856eff235814,-0.256,0.170,6.487,True
Now in the Castle Age [Tower Rush],sl4,26936f218c0406df5f7e425737f3b3e1,e0059ce4b6a0161357a8af60cd29ef594f22d923d86e64606b4237f148bef98a,0.140,0.368,10.576,True
Colorful Dream [紫外線],st1,26b6fd6c0757ec7e4d9e95b0d6156b0e,a2cb63a034a15e5468f8aed004e1663932b004cca1b1e739660ac30a3aa79842,0.654,0.934,10.556,True
アイム・マイヒーロー [覚醒],sl1,26dd7c6a5377f4200f279afcc25770c9,597f532e55df3227ef22bc322d778eb6823da7daa6c4e3ff96ab1fbabbcc7ba6,-0.235,0.072,7.856,True
Bonus Time [ANOTHER],sl0,26eab7f5cfd2aa248c55334c3242e619,151e524c7d1b6437078ad6d775f2da1d9c8044fc432d0084e0180a710e7e2028,-0.349,0.060,5.432,True
Absolute Gate [四次元への扉],st5,26eadbbfc2993a22e7372b5e9d42ef2e,efd5731e203ad64b8612d05a9d50a3732e6a64497d4001c0dfa363d863852134,1.134,1.670,6.222,True
"Good Bye, Blue Ogre (Welcome Insane)",sl2,26f46c7d7df5511b97e399ddeccf0768,09f13c3d2bf314c5416752929ead37168bdece17cca3bcd802d21f43bee2b01b,-0.208,0.209,7.237,True
Stars Keep on Illuminating [SP Insane],st0,26fdb50f6232cdfae99504c892e87f55,06c1cd20db6ac0c2e9e973caadd18516213131c394bc401dbbd46cfbb2468e9b,0.508,0.830,14.406,True
Colorful (roop remix) [MANIAC7],sl1,2707e6b8274e9be7dd3ef76e8d9dfc0c,7b49cae365d9cc73ef220d5d69bf9722ab104cfa5be7166f41fb903541cf5993,-0.083,0.158,8.317,True
"ice valley ""beyond the searoad"" [EXTRA]",sl0,271a8286f788ba1849aa0d2ae24a2df9,5282e0bff3465beb3f10e78646b501908753a1becc3af53013923b61d427bc54,-0.511,-0.129,6.277,True
Ultimate Weapon [LAST BOSS],st1,27233e82def50bcdcb21dd4632d742f8,82ec3a010de110a8a84ddd37405913ae4a1fb8aead30f6a3a505402c031be025,0.577,0.933,10.550,True
tinnitus -Eclipse-,st0,27392941506d6d2df86c7e9edf911354,61aa51994a87b5527e5efea960fc2844c2830557df1eb5598fb555bcee283ee3,0.556,0.830,10.370,True
Holy Lightbringer [7KEYS ANOTHER],sl2,27512227d8e2b13f38121c15d39eec5d,6c11e06aa961cb3fb63479f21148e1e6fd4eb3081002a727a3bfd859ab285918,-0.085,0.246,8.187,True
Oriens [LETHAL],st3,2787c1a9409eed39d67b00dd66bbba0d,8a9a52d1e67b0599f61a71237bb239ae4a12488fe6680405e697295d99f92850,0.758,1.087,8.778,True
ARCADE! 爆竹 PARTY (Remaster),st1,27bcf7dfba20d0afceb257bfd46d6007,b68a6fa04ef53f93e69b544bdab80c19021a1149e011f8582c7b3e9c1f7d996b,0.722,0.917,13.059,True
Triumphal Return -Xe-,st2,27c0a891fd12211df0ac7f9f45378bb7,d0457d93e45c02e809f1250763ae1949e54fb2784e784ba493cdbc18094ae095,0.606,0.992,9.530,True
天海原～あまみはら～ [水平線],sl3,2809912c0673309d5a3e1b5d2e5eabc8,bb9d879d2aa0187475e9539fa837dfa871188bf1ab5e3d81b6f1c139710a9325,0.039,0.298,7.206,True
Pourqaa [SP INSANE],sl1,2823d28ec4923a97519b40ec827aa289,675759e4446d9f4e3f88a4776b2b13b3cde17ea53e555465cc7886c19c6d3e95,-0.238,0.139,6.822,True
Destroyer [Abgrund],st3,28334e4ffcc4e6fb393ccf8bc1bc842f,57f071056996a3f48b61ba6e4a5115b66cf44224f9af14ac6c0764c2e8da4939,0.837,1.113,10.879,True
Pangaea [EX],st1,284ddd098db5be298c828fefcdd648e5,a7f601b152bd8d8365097fb8739be0ce701848fbd755145807e3168db1d8beb6,0.717,0.879,11.506,True
Triumphal Return -Hope-,sl6,2862dde3b93058a27d2ac03d9a79a31f,18310a0a408a2aeb4d63cc413f34886af670c8755e54a23d0cfa9d10698708ac,-0.047,0.373,7.901,True
From Megalopolis with Love [A+],st0,289a9abfbe1b7f3ee35813ade6e5155b,066e6464a20372fa9d5d689aba4e6da64e322ee578c9f5a271feb7608bf77587,0.689,0.836,16.505,True
爽昧夢想ラバーズ [ASTRAL],sl10,28a128ca6dc074335ccdb42a89a0a51a,4ae0a0d38768ccdd1142fefc955247bc7e52b8b58dfea6b4c514d05cc2712d73,0.458,0.725,14.734,True
GAMEBOY [ANOTHER other],sl0,28cdea0800cd82cc545dde6b1ef06a52,73795b87da2b0675dfe90f0008e93b55b94586d33695c8d15c9889274348ca18,-0.813,-0.139,4.508,True
Harder Experience [yumether],st0,28d43d02b22a9bd755b8269a7d7cd497,1dfe776b7d902c3ff2144083f8704e9c781cdb9de6417e94bb93a6bddbaf134f,0.566,0.815,14.529,True
Empress of Raizze [フルマラソン],st3,28de731d48217bbd50f49b1ad572f81f,526277dc555f254f6a7994edeab498b07227f9a7ac5343f13b79773ed09bdf11,0.926,1.280,7.528,True
3.14 @`・ ω ・´@,sl8,28e74356833a56b4673905fa2940a205,b999353374d9a7c9c625b4486c41272b4783a3b8a3c2d31804373236bfb03d35,0.344,0.589,11.111,True
Fusionik -FINAL BOSS-,st4,28fe78d9880c1c06bb298ebb4528565f,f4ca7048585bf905bc6d31d73a4b957dbd7de62607208e30aa90b389b213ff22,0.945,1.427,7.907,True
kyrka [Haereticum],st4,2913190c27ed8c73c5b9221a4d9b2b07,31e7971a63af7f51ce86a1f05b54863adb347ee64711f5d924832ddb6a84141f,0.934,1.136,10.051,True
Re:End of a Dream [Anfang],sl3,295932e12c62634be317b021abbb0448,800cf0025d4cf9387c5ecd0ca6db5cf45137cd7626119c60639c9130494ed7a9,-0.108,0.261,8.121,True
fragments J-CoreRemix -Luna-,sl9,295dfc6bac48fd8a805173be0a5360d0,1ba5fc448c982bd23cd4fd32dce07b312a255829a061cab11fbd513b3f4e2124,0.358,0.562,10.944,True
Unidentifed Flying Scotsman [HARD],sl12,29660c8adbe99a6132ecc9962d1bebc7,4d792034f23d202e3759afee0235623b23208adcc8f57eced6945d86eb2988ba,0.571,0.732,8.590,True
Beyond the Solar System [F],sl6,29715196d05b992dfe0fef26d4cf17a2,c1bf136958c0793846be3dd7e66eff9203a8fff0ac74816dc5897d4e594d0155,0.192,0.459,10.439,True
perfume of reunion [Nemesis],sl2,29a5d04bb897e7d87e8a5891fcef1f97,36e1689c538990de172c05bc86508d80ede75aa8798bebd92dc5d5d22cec895a,-0.202,0.197,5.837,True
XIII Charlotte -BLACK ANOTHER-,sl5,29b0684e44c96d385748fca44f5533b9,b47be767b4960005383ea4458ecfee4849c164be8e87f0c167805f6aedeb0858,0.264,0.446,9.591,True
DOLL [F],sl2,29f5eb984d14420f053407d20c1f14d1,b65189750b07009f0bf5c7be32267f8ec13a5e4fa6fe16157966f1fd96e67028,-0.144,0.197,8.855,True
ELIMINATOR [Despair],st1,2a3af61bc6c47284f45a007e88308707,59edddf1a8995c3fab1f995c26e32b8b20a2d2849c3d1d95c4728de5c49790a0,0.746,0.924,13.491,True
ULTRA MEGA HAPPY PARTY!!! [Euphoric],st1,2a5746e0c9a94090d046205f1c5fbe36,67c036c2fb55ed62308f52d034c7faa191ba59646ee89d3bc6432b5aa2826648,0.762,0.975,11.649,True
Gleam of Aigis (超地獄級),st0,2a73669b92b7c0f84043cefc9773af32,553bc31cfdd576e014ad6da82e598e361d099aa198b52f33e7740aa7ca93b1d0,0.484,0.827,11.065,True
スーパーイザナギオブジェクト [Other],st4,2a7771401fc0fdae9419bd2c42473ee1,348fa8aa57bca0c24a6e68115c87498a2f4389d54a7946c877c841167b5b01e1,0.989,1.398,8.058,True
La souvenir,sl1,2a8367c798afb98a48de0473952937fb,244a1e16d9b33500c5621433acb90d30e9550dc8a003e79a93353d53e0a6ef63,-0.261,0.164,7.589,True
Gar♪goyle [コンプラ],st5,2ad657bdf59a0147b6f415a39b92f5b5,77c52d2d91d5c3fd5402d8c036e0237da16817c603cb8732bc34aaea0c9ed856,1.093,1.616,5.240,True
+84 [+200],st3,2ae6ffab1595e4164ff098a190e6e0f1,3524fe27b82880c6c4efdbd86ecf221b760a9e43a8e6bb687f74308becdaac93,0.756,1.064,10.634,True
Auburn Halo [Strauss],sl4,2af0865bfac13fef86cf7ece8a4eb877,7d164ad43b52a9179a8cfc4da7b996bc6c84f1737a204ba2a15ea719689b0422,0.200,0.390,11.328,True
Bad Beat! [EXTREME],st1,2af37ac8096e58659f14d6af115591fa,aa161fe686847c386c6d4941284f47a4d64574e5eb60a74bf4fe1dd0c7450e1f,0.583,0.898,11.894,True
Urania [Glowing Sky],sl10,2b13530120df96c374f4fb79e3599ce6,3d7c1bf1151e50b07dfd3611de35246ac0b2803477c45fe911fd3dfe4111d2bb,0.527,0.670,18.270,True
Happycore☆Tightcore [ょぅι゛ょっょぃ],sl9,2b165f91c34c170e1cfea80a044b392a,9b41636516a528d89ff1fa886b746a5df33d45a3b45c198c0fdc41d2b93bc424,0.230,0.607,10.135,True
Dstorv [undefined],st5,2b1ae8441aeee72aaa68362edccd2601,4bbe8c8eb5fbbf2529aa4cb8b40537cc492e6807ad347325a9a1c1357a91d68e,0.886,1.561,5.626,True
夜騒曲 op.Q-ν [Lapid Bullet],st1,2b1d7da2ceb4a9751699179bc0ba1c2a,e3ea03ae72147e403afed3e8e5713671c3db7288fb9c2610ac49eee15763b07b,0.599,1.082,5.369,True
アドバンス・ユア・ワンウェイ 【INSANE】,sl4,2b1ffcb56ef7ee00d13fd47557127b54,2a0ec035ab78884dfbfa0c0a184d8206717334ce4784eb38cb840ea4109c4939,0.109,0.357,9.457,True
Absolute Future [Infinity],st4,2b5c45cbbe5ce2539c8548d5d523e11f,21b6d12c67797ffbdf1d3b9cc41a8ade6203e2e52e4d92ed121bc167980ca69a,0.754,1.244,7.732,True
Tangerine Dawn -IR-,st0,2b6640d408f8a7f10bea55b35d8f82f5,c7fc323ae152e42e43f807347dfb3f2de2a231eb54c24ef6f39a7bf331af889c,0.483,0.791,5.557,True
雪花,sl0,2b7fdd2f5d0babc06cac794d00962167,138712b04805ef65b2e6e7880e668f55be5843fbc0ed47281f527835ff829b18,-0.386,-0.059,5.390,True
iterated [Creation],st5,2b98d9ac49bacae52ba28aaabc3754bf,cbf303da8060a49699d297ba3ab33e7af7b2f21ab3e50245c9e95df2b4b2d6e3,0.983,1.480,6.641,True
Revenant [Another],sl0,2ba3072c031ff8af0034eccee290ea89,fce0e9a749c39bfe1cf59e0814dd0a7d7cb411e8d43606ff39dbf59821fbcac6,-0.502,-0.048,4.877,True
Σnergy -яevolution- [Steяrite],sl7,2bcfda5864dfc99e74ff46ddaa0b5450,5d1360acb060231ef688012746b628509d951b7435509a5e8814cf3ab4f7ea2f,0.325,0.505,11.304,True
Traveler ~stand aloof~ [Futabather],sl5,2bd4d3b52a6d56e42cd829b435e89c97,f587e948af412333d78d60f4c42a4799c605cf21477ee0d99d29c5dddedd12ae,-0.058,0.421,6.360,True
Comatose state [Spinal Reflex],st4,2bdc2d74aee220082ddd28e7524e26cc,d3860031186609228c44a14a0567cf3073166b5391be2a8df916eacf89eb0942,0.985,1.464,8.002,True
Dystopia High [ZOI],sl4,2bde44b71cb7fb75c267397da7838b3d,e2ae54efffa50fbbeab119366d7acab473a358b2aa77ddfe088b317fa0eb5493,0.074,0.354,12.241,True
I wanna be strongeeeer [Kill them All!],st2,2bef84e0a834e9214ef426295078f2d4,58515f168a0d0a89b1b4257e4be6f1a67c6c58476a20267080f71e27d9f11dad,0.866,1.068,10.365,True
The Fate of The Fairies,sl4,2c245b43e351a5bce7a114d920c6970b,9a807c13302e5689bbc7db324d66ee58ded4ca057838bd9e2122352616dc8f48,-0.048,0.327,8.801,True
